time	XZ [min env]	FV [max env]	FV [min env]	XZ [max env]
74.950000	9.722370	-105.495860		160.045090
174.950000	-0.987190	-91.343270	-1424.203580	162.946840
224.950000	-0.358980	-92.831010	-1419.015580	162.179020
274.950000	-0.119660	-88.253360	-1419.664080	162.298680
324.950000	0.129630	-90.732920	-1421.228110	162.368490
374.950000	1.635350	-95.272430	-1413.484240	161.461070
424.950000	1.814840	-93.517660	-1411.462450	161.530870
474.950000	2.123960	-92.640280	-1410.089150	161.291550
524.950000	2.343340	-91.343270	-1411.500590	161.261630
574.950000	2.423110	-92.106220	-1410.470620	161.181860
624.950000	2.592630	-91.228830	-1409.555090	161.271600
674.950000	2.871840	-91.610300	-1407.418850	161.132000
724.950000	2.921700	-91.228830	-1407.724030	160.892680
774.950000	3.240790	-90.694770	-1406.579610	161.022310
824.950000	3.490080	-91.076240	-1404.252640	160.992400
874.950000	3.689510	-90.008130	-1404.672260	160.992400
924.950000	3.859030	-91.266980	-1405.511500	160.832850
974.950000	3.998630	-90.008130	-1407.037380	161.002370
1024.950000	4.068440	-91.228830	-1405.892970	160.892680
1074.950000	4.247930	-89.588510	-1405.664080	160.942540
1124.950000	4.367590	-91.381420	-1405.816670	160.912620
1174.950000	4.437390	-90.084420	-1404.100050	160.922600
1224.950000	4.527130	-90.046270	-1406.083700	160.763050
1274.950000	4.716590	-91.076240	-1406.961090	160.782990
1324.950000	4.926000	-89.550360	-1405.397050	160.723160
1374.950000	5.135400	-90.542180	-1404.061910	160.673300
1424.950000	5.265030	-90.160710	-1405.130020	160.802940
1474.950000	5.255060	-89.321480	-1403.794880	160.673300
1524.950000	5.504350	-90.618480	-1406.007410	160.723160
1574.950000	5.294950	-88.940010	-1402.879340	160.523730
1624.950000	5.404640	-90.427740	-1406.808500	160.533700
1674.950000	5.633990	-90.237010	-1405.320760	160.663330
1724.950000	5.624010	-89.893680	-1405.892970	160.563620
1774.950000	5.713760	-89.741100	-1406.503320	160.523730
1824.950000	5.633990	-89.588510	-1407.457000	160.583560
1874.950000	5.903220	-88.901860	-1405.816670	160.723160
1924.950000	5.713760	-87.833740	-1406.541470	160.483840
1974.950000	5.953080	-89.588510	-1406.045560	160.374150
2024.950000	6.092680	-89.588510	-1405.168170	160.503790
2074.950000	6.032850	-89.474070	-1405.664080	160.304350
2124.950000	6.032850	-90.275160	-1404.443380	160.374150
2174.950000	5.982990	-89.359620	-1405.397050	160.543670
2224.950000	6.212340	-90.198860	-1405.282610	160.204640
2274.950000	6.052800	-91.572160	-1403.947460	160.334270
2324.950000	6.232290	-90.427740	-1405.168170	160.214610
2374.950000	6.032850	-90.465890	-1404.367080	160.294380
2424.950000	6.332000	-91.419570	-1401.849370	160.384130
